,surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,extremity_temperature,peripheral_pulse,mucous_membranes,capillary_refill_time,pain_level,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_total_protein,outcome,surgical_lesion,lesion_site,lesion_type,lesion_subtype,cp_data
0,No surgery,Adult horse,530101,38.5,66,28,3,Reduced,Normal pink,>= 3 seconds,Continuous severe pain,Absent,Severe,Slight,None,2.0,Decreased,Distended large intestine,45.0,8.4,Cloudy,2.0,Died,No,11300,0,0,No pathology data
1,Surgery,Adult horse,534817,39.2,88,20,3,Normal,Pale cyanotic,< 3 seconds,Intermittent mild pain,Absent,Slight,Slight,None,2.0,Absent,Other,50.0,85.0,Cloudy,2.0,Was euthanized,No,2208,0,0,No pathology data
2,No surgery,Adult horse,530334,38.3,40,24,1,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Normal,Normal,33.0,6.7,Cloudy,2.0,Lived,No,0,0,0,Pathology data present
3,Surgery,Young,5290409,39.1,164,84,4,Normal,Dark cyanotic,>= 3 seconds,Depressed,Absent,Severe,None,> 1 liter,5.0,Decreased,Distended large intestine,48.0,7.2,Serosanguinous,5.3,Died,Yes,2208,0,0,Pathology data present
4,No surgery,Adult horse,530255,37.3,104,35,3,Normal,Dark cyanotic,>= 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,74.0,7.4,Cloudy,2.0,Died,No,4300,0,0,No pathology data
5,No surgery,Adult horse,528355,38.0,48,20,2,Normal,Pale pink,< 3 seconds,Depressed,Hypomotile,Slight,Slight,None,2.0,Decreased,Firm feces in the large intestine,40.0,6.5,Cloudy,2.0,Lived,No,0,0,0,No pathology data
6,Surgery,Adult horse,526802,37.9,48,16,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,None,None,2.0,Decreased,Distended large intestine,37.0,7.0,Cloudy,2.0,Lived,Yes,3124,0,0,No pathology data
7,Surgery,Adult horse,529607,38.0,60,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Absent,Slight,Slight,None,2.0,Decreased,Distended small intestine,44.0,8.3,Cloudy,2.0,Died,Yes,2208,0,0,No pathology data
8,No surgery,Adult horse,530051,38.0,80,36,3,Absent,Pale pink,< 3 seconds,Intermittent severe pain,Absent,Severe,Slight,None,2.0,Decreased,Distended large intestine,38.0,6.2,Cloudy,2.0,Was euthanized,Yes,3205,0,0,No pathology data
9,No surgery,Young,5299629,38.3,90,20,1,Normal,Normal pink,< 3 seconds,Continuous severe pain,Hypomotile,None,Slight,None,2.0,Decreased,Distended large intestine,40.0,6.2,Clear,2.2,Lived,No,0,0,0,Pathology data present
10,Surgery,Adult horse,528548,38.1,66,12,3,Reduced,Bright red / injected,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,3.0,Increased,Distended large intestine,44.0,6.0,Cloudy,3.6,Lived,Yes,2124,0,0,Pathology data present
11,No surgery,Adult horse,527927,39.1,72,52,2,Normal,Bright pink,< 3 seconds,Depressed,Hypermotile,Slight,None,None,2.0,Absent,Distended small intestine,50.0,7.8,Cloudy,2.0,Lived,Yes,2111,0,0,No pathology data
12,Surgery,Adult horse,528031,37.2,42,12,2,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Significant,None,2.0,Absent,Distended large intestine,40.0,7.0,Cloudy,2.0,Lived,No,4124,0,0,No pathology data
13,No surgery,Young,5291329,38.0,92,28,1,Normal,Bright pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,Significant,None,7.2,Normal,Normal,37.0,6.1,Clear,2.0,Died,No,0,0,0,Pathology data present
14,Surgery,Adult horse,534917,38.2,76,28,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Absent,None,Slight,> 1 liter,2.0,Absent,Distended small intestine,46.0,81.0,Clear,2.0,Lived,Yes,2112,0,0,No pathology data
15,Surgery,Adult horse,530233,37.6,96,48,3,Normal,Pale cyanotic,< 3 seconds,Continuous severe pain,Hypomotile,Moderate,Slight,< 1 liter,4.5,Absent,Distended large intestine,45.0,6.8,Cloudy,2.0,Died,Yes,3207,0,0,No pathology data
16,Surgery,Young,5301219,38.0,128,36,3,Reduced,Pale cyanotic,>= 3 seconds,Intermittent severe pain,Absent,Moderate,Significant,None,2.0,Absent,Distended large intestine,53.0,7.8,Serosanguinous,4.7,Died,No,1400,0,0,Pathology data present
17,No surgery,Adult horse,526639,37.5,48,24,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,No,0,0,0,No pathology data
18,Surgery,Adult horse,5290481,37.6,64,21,1,Normal,Bright pink,< 3 seconds,Depressed,Hypomotile,None,None,None,2.0,Increased,Distended large intestine,40.0,7.0,Clear,2.0,Lived,Yes,4205,0,0,Pathology data present
19,No surgery,Adult horse,532110,39.4,110,35,4,Reduced,Dark cyanotic,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Absent,Distended large intestine,55.0,8.7,Cloudy,2.0,Lived,No,0,0,0,No pathology data
20,Surgery,Adult horse,530157,39.9,72,60,1,Normal,Bright red / injected,>= 3 seconds,Continuous severe pain,Absent,Severe,Significant,None,2.0,Absent,Distended small intestine,46.0,6.1,Cloudy,2.0,Lived,Yes,2111,0,0,No pathology data
21,No surgery,Adult horse,529340,38.4,48,16,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,None,Slight,< 1 liter,5.5,Absent,Firm feces in the large intestine,49.0,6.8,Cloudy,2.0,Lived,No,0,0,0,No pathology data
22,Surgery,Adult horse,521681,38.6,42,34,2,Normal,Pale cyanotic,< 3 seconds,Depressed,Hypomotile,None,Slight,None,2.0,Normal,Distended large intestine,48.0,7.2,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
23,Surgery,Young,534998,38.3,130,60,3,Reduced,Normal pink,< 3 seconds,Depressed,Absent,None,Slight,None,2.0,Absent,Distended large intestine,50.0,70.0,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
24,Surgery,Adult horse,533692,38.1,60,12,3,Reduced,Pale pink,< 3 seconds,Intermittent mild pain,Absent,Moderate,Significant,> 1 liter,2.0,Absent,Distended large intestine,51.0,65.0,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
25,No surgery,Adult horse,529518,37.8,60,42,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,No,0,0,0,No pathology data
26,Surgery,Adult horse,530526,38.3,72,30,4,Reduced,Pale pink,>= 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Decreased,Distended large intestine,43.0,7.0,Cloudy,3.9,Lived,Yes,3111,0,0,Pathology data present
27,Surgery,Adult horse,528653,37.8,48,12,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,None,2.0,Normal,Firm feces in the large intestine,37.0,5.5,Cloudy,1.3,Lived,No,4122,0,0,Pathology data present
28,Surgery,Adult horse,5279442,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Died,No,4300,0,0,No pathology data
